0
Stroh im Kopf
dumm wie Bohnenstroh
dumm wie Brot
nicht   bei Trost
nicht ganz dicht
dumm wie Schifferscheiße
nicht besonders hell
nicht gerade hell
Stroh im Kopf
dumm wie Bohnenstroh
dumm wie Brot
nicht   bei Trost
nicht ganz dicht
dumm wie Schifferscheiße
brav und bieder
über Leiche gehend
mit finster Absicht
den Vogel abschießen
Magen oral entleern
in Flamme aufgehen
in Flamme stehen
mit äußerst Brutalität
mit eisern Faust
mit hart Hand
mit schonungslos Härte
mit unerbittlich Durchsetzungswille
mit voll Härte
mit wütend Entschlossenheit
über die Maß
über Leiche gehend
mit finster Absicht
über Leiche gehend
Hass haben auf
einen Hals haben
in heilig Zorn
Macht der Finsternis
drunter und drüber
kreuz und quer
ohne rot Faden
zu Ende gehen
zur Neige gehen
bald aufbrauchen sein
nicht mehr benutzbar
in Mitleidenschaft ziehen
für nichts   interessieren
wie die Ölgötzen
wie ein Ölgötze
wie ein Penner
die Ehre abschneiden
in Misskredit bringen
in Verruf bringen
ins Gerede bringen
am Zeug flicken
ans Zeug flicken
mit Dreck bewerfen
zur Schnecke machen
zur Sau machen
keine einfach Lösung
mit Mühe verbinden
mit   Unannehmlichkeit verbinden
Wald und Wiese
die Ehre abschneiden
in Misskredit bringen
in Verruf bringen
ins Gerede bringen
am Zeug flicken
ans Zeug flicken
mit Dreck bewerfen
in Misskredit bringen
in sich kehren
nach innen kehren
das Kommando haben
den Ton angeben
das Sagen haben
die Richtschnur vorgeben
an sich reißen
nicht besonders hell
nicht gerade hell
Stroh im Kopf
dumm wie Bohnenstroh
dumm wie Brot
nicht   bei Trost
nicht ganz dicht
dumm wie Schifferscheiße
mit hoch Wirkungsgrad
mit Schmutz behaften
vor Dreck starr
Dreckig und Speckig
stehen vor Dreck
vor Dreck stehen
nicht zu fassen
jeder Beschreibung spotten
spotten jeder Beschreibung
also so etwas
kaum zu fassen
Frech wie Dreck
die Unverfrorenheit besitzen
Frech genug sein
so schamlos sein
unverschämt genug sein
im Anmarsch sein
im Anzug sein
im Verzug sein
ins Haus stehen
Knistern im Gebälk
sein Schatten vorauswerfen
zu erwarten stehen
Zeichen stehen auf
sein im Busch
Schicksal halten    bereit
zu erwarten haben
nichts Gute verheißen
zu befürchten sein
zu befürchten stehen
einschlagen kommen näher
können jeden Moment
können jeden Moment
zur Besinnung bringen
zur Räson bringen
zur Vernunft bringen
von peinlich Indiskretion
es dringend machen
die Daumenschrauben anziehen
im Nacken sitzen
in Bedrängnis bringen
unter Druck setzen
Bitteln und betteln
keine Ruhe geben
nicht besonders hell
nicht gerade hell
Stroh im Kopf
dumm wie Bohnenstroh
dumm wie Brot
nicht   bei Trost
nicht ganz dicht
dumm wie Schifferscheiße
nicht zu entschlüsseln
als Flop herausstellen
ein Flop sein
nicht akzeptieren werden
von schlicht Denkungsart
nicht besonders hell
nicht gerade hell
Stroh im Kopf
dumm wie Bohnenstroh
dumm wie Brot
nicht   bei Trost
nicht ganz dicht
dumm wie Schifferscheiße
in Mitleidenschaft ziehen
Schatten werfen auf
nichts zusetzen haben
jetzt kommen   ich
eine Affäre haben
einen Seitensprung machen
zum Hahnrei machen
in sich zusammenfallen
in Trümmer fallen
umknicken wie Streichholz
nach unten gehen
gewaltsam Zugang verschaffen
von schlicht Denkungsart
zur Antwort geben
zur Geltung kommen
nicht fortsetzen werden
nicht weiterführen werden
vom Netz gehen
fallen der Groschen
hinter etwas steigen
den Geschäftsbetrieb einstellen
in überschaubar Rahmen
mit einem Defizit
mit klein Macke
nicht mehr einwandfrei
nicht mehr tadellos
nicht ohne Makel
einsam und verlassen
fernab der Zivilisation
ab vom Schuss
in der Pampa
in der Walachei
weit vom Schuss
wie ein Einsiedler
wie ein Eremit
ohne sozial Bezug
die Hucke vollhauen
eine Abreibung verpassen
in Trümmer legen
Gürtel eng schnallen
den schneiden abkaufen
den schneiden nehmen
ins Bockshorn jagen
ins Bockshorn jagen
in sich zusammenfallen
in Trümmer fallen
umknicken wie Streichholz
unter Vertrag nehmen
im Anflug sein
im Anmarsch sein
eine Einstellung entwickeln
nicht weiter produzieren
in sich zusammenfallen
in Trümmer fallen
umknicken wie Streichholz
grau in grau
ins Auge fallend
ins Auge stechend
nicht zu übersehen
dick und fett
klar und deutlich
gegen sich aufbringen
in Harnisch bringen
in Wut versetzen
die Gemüt erhitzen
zur Weißglut bringen
zur Weißglut treiben
in Wallung geraten
in Wallung kommen
in Wut geraten
die Wand hochgehen
einen Tanz aufführen
brav und bieder
zur Welt bringen
das Leben schenken
nebeneinander her leben
in Verlust geraten
in Verstoß geraten
in Luft auflösen
den Kopf abschlagen
Kopf kurz machen
außer Kraft setzen
als falsch erkennen
die Freiheit schenken
die Freiheit wiedergeben
sein Posten entheben
sein Amt entheben
sein Amt Entsetzen
sein Kommando entheben
auf frei Fuß
den schneiden abkaufen
den schneiden nehmen
ins Bockshorn jagen
gegen sich aufbringen
in Harnisch bringen
in Wut versetzen
die Gemüt erhitzen
zur Weißglut bringen
zur Weißglut treiben
in Wallung geraten
in Wallung kommen
in Wut geraten
die Wand hochgehen
einen Tanz aufführen
die Düse machen
vom Acker machen
ein Häufchen Elend
der Verantwortung entziehen
das Wasser abgraben
mit hart Körpereinsatz
Hass haben auf
einen Hals haben
in heilig Zorn
Magen oral entleern
das bezahlen vergessen
lang Finger machen
vergessen zu bezahlen
in Kauf nehmen
einen Streifen mitmachen
zu beklagen haben
nicht standhalten können
nicht widerstehen können
die Levit lesen
einen Verweis erteilen
ins Stammbuch schreiben
zur Ordnung rufen
auf Linie bringen
auf Vordermann bringen
aufs Dach steigen
den Kopf waschen
den Marsch blasen
die Flötentöne beibringen
die Hammelbeine langziehen
die Meinung Geige
die Schuh aufpumpen
eine   ansage machen
eine   Zigarre verpassen
den Arsch aufreißen
das Lebenslicht auslöschen
ins Jenseits befördern
ums Leben bringen
zum Schweigen bringen
zur Strecke bringen
den Garaus machen
ins Nirwana befördern
die Kraft verlieren
nicht mehr   können
am Ende sein
zu Tod langweilen
vor Langeweile sterben
jemanden fertig machen
unter Druck setzen
die Kugel geben
die Kraft verlieren
nicht mehr   können
am Ende sein
den Schädel einschlagen
zu dominant sein
zu sehr dominieren
nicht mehr können
Akku sein le
fix und alle
fix und fertig
ins Bockshorn jagen
einen Schrecken einjagen
vor schrecken zusammenfahren
nicht mehr können
Akku sein le
fix und alle
fix und fertig
zu schaffen machen
aufs Gemüt schlagen
nicht spurlos vorbeigehen
in Mitleidenschaft ziehen
das Herz berührend
zu Herz gehend
die Kehle zudrücken
die Luft abschnüren
Tod durch Ertrinken
die Kehle zudrücken
die Luft abschnüren
Hass haben auf
einen Hals haben
in heilig Zorn
außer sich geraten
die Beherrschung verlieren
die Nerv verlieren
einen Rappel kriegen
einen Tobsuchtsanfall kriegen
vor Wut schäumen
grau in grau
nicht besonders einfallsreich
nicht ernst meinen
das zeitlich segnen
letzter Atemzug tun
Reihe lichten sich
schlagen die Stunde
von uns gehen
ins Grab sinken
sein Leben aushauchen
sein Geist aushauchen
den Geist aufgeben
ins Gras beißen
letzter Fahrt antreten
sein Geist aufgeben
die Hufe hochreißen
als Held sterben
zu Boden gehen
zu Fall kommen
zu Boden fallen
nichts wahr dran
grau in grau
grau in grau
lieb und nett
nett   von nebenan
nach nichts aussehen
nicht zu realisieren
durch Abwesenheit glänzen
Nen bunt machen
nicht da sein
nichts zu sehen
werden nicht sehen
nicht verfügen über
zu Haus bleiben
es fehlen an
zu kurz kommen
mit einem Defizit
mit klein Macke
nicht mehr einwandfrei
nicht mehr tadellos
nicht ohne Makel
von Hass erfüllen
kaum   loskommen von
nicht wieder loslassen
über Leiche gehend
ohne tief Bedeutung
nicht besonders einfallsreich
sich häufig ändernd
auf der Flucht
auf und davon
haben sich absetzen
nicht mehr da
über alle Berg
ernst zu nehmen
von groß Tragweite
dürfen bezweifeln werden
kein anderer als
niemand anderer als
zur Diskussion stehend
in Frage stellen
in Frage stehen
ins Wanken geraten
ins Wanken kommen
nicht sichern sein
zur Disposition stehen
wissen die Gott
nicht so sicher
sein mal dahinstellen
dürfen man bezweifeln
können bezweifeln werden
dürfen bezweifeln werden
mit übel Beigeschmack
übel nachgeschmack hinterlassend
dürfen man bezweifeln
können bezweifeln werden
Frech wie Dreck
ohne falsch Scham
locker vom Hocker
nicht von hier
nicht von hier
für nichts   interessieren
ohne Freude dabei
ohne sich anstrengen
Sinn und Zwecklos
Muster ohne Wert
zu nichts nutzen
zu nichts nütze
für die Katz
für die Tonne
kannen du knicken
kannen du vergessen
für den Arsch
vom Leben enttäuschen
in blind Wut
in maßlos Wut
vor Wut schäumen
wie eine Furie
kurz vorm explodieren
über die Maß
bis dort hinaus
bis zum Gehtnichtmehr
gehen die Muff
Hose voll haben
gehen die Düse
wie ein Penner
einen   Lenz machen
fallen bald auseinander
über Leiche gehend
alt und klapprig
dem Herdentrieb folgend
wie die Lemming
dicht an dicht
Schulter an Schulter
Stoßstange an Stoßstange
aufs Spiel setzen
einem Risiko aussetzen
in Gefahr bringen
mit Risiko verbinden
mit ungewiß Ausgang
auf dünn Eis
über Leiche gehend
unter Wahnvorstellung leidend
von der Rolle
durch den Wind
bieten keine Überraschung
bieten wenig Überraschung
über Leiche gehend
Gibts im Überfluß
null Acht fünfzehn
von der Stange
von gering Umfang
von gering Prestige
unter der Gürtellinie
mit brachial Methode
mit dem Vorschlaghammer
mit der Brechstange
mit schwer Gerät
mit dem Holzhammer
Anwendung unmittelbar Zwang
durch unmittelbar Zwang
ein und dasselbe
keine Rolle spielen
so oder so
dasselbe in Grün
wie die Ölgötzen
wie ein Ölgötze
von oben herab
vom Pech verfolgen
vom Unglück verfolgen
